Case Number,Location,Total Number Occupants,Total Number Units,Licence Commenced,Licence Expires
15/01304/HMOLIC,103 Cardigan Street Oxford Oxfordshire OX2 6BW,6,6,20-Jan-17,20-Jan-18
16/04515/HMOADL,14 Valentia Road Oxford Oxfordshire OX3 7PL,5,,21-Oct-16,20-Jan-18
16/05608/HMOADL,7 Marshall Road Oxford Oxfordshire OX4 2NP,5,5,21-Jan-17,20-Jan-18
16/04525/HMOLIC,18 London Place Oxford Oxfordshire OX4 1BD,5,4,20-Oct-16,20-Jan-18
16/05722/HMOADL,13 Rectory Road Oxford Oxfordshire OX4 1BU,7,,21-Jan-17,20-Jan-18
16/05718/HMOADS,39 Venneit Close Oxford Oxfordshire OX1 1HY,3,3,21-Jan-17,20-Jan-18
16/05727/HMOADL,64 James Street Oxford Oxfordshire OX4 1EX,4,,21-Jan-17,20-Jan-18
15/02416/HMOADL,109 Marlborough Road Oxford Oxfordshire OX1 4LX,4,4,20-Jan-17,20-Jan-18
16/05728/HMOADL,169C Woodstock Road Oxford Oxfordshire OX2 7NA,3,3,21-Jan-17,21-Jan-18
16/05720/HMOADS,11 Leopold Street Oxford Oxfordshire OX4 1PS,4,,21-Jan-17,21-Jan-18
16/05713/HMOADL,25 Franklin Road Oxford Oxfordshire OX3 7SB,5,5,21-Jan-17,21-Jan-18
16/05730/HMOADL,41 Boulter Street Oxford Oxfordshire OX4 1AX,5,,21-Jan-17,21-Jan-18
16/05734/HMOADS,Flat 3 Jean Marguerite Court 6 Brook Street Oxford Oxfordshire OX1 4JT,3,3,22-Jan-17,21-Jan-18
16/05410/HMOLIC,11 Rectory Road Oxford Oxfordshire OX4 1BW,6,6,22-Jan-17,21-Jan-18
15/05352/HMOADL,Flat 2 92 Botley Road Oxford Oxfordshire OX2 0BW,5,,21-Jan-16,21-Jan-18
16/05715/HMOADS,6 Bulan Road Oxford Oxfordshire OX3 7HT,4,4,22-Jan-17,21-Jan-18
16/04531/HMOLIC,59 Marston Street Oxford Oxfordshire OX4 1JU,5,5,22-Oct-16,21-Jan-18
16/05731/HMOADL,69B St Mary's Road Oxford Oxfordshire OX4 1QB,4,,22-Jan-17,22-Jan-18
16/05865/HMOADL,61 Hurst Street Oxford Oxfordshire OX4 1HA,5,,22-Jan-17,22-Jan-18
16/05864/HMOADS,3 Swan Court Paradise Street Oxford Oxfordshire OX1 1JB,3,,22-Jan-17,22-Jan-18
16/05740/HMOADL,31 Union Street Oxford Oxfordshire OX4 1JP,4,,23-Jan-17,22-Jan-18
16/05735/HMOLIC,85 Old High Street Oxford Oxfordshire OX3 9HT,17,15,22-Jan-17,22-Jan-18
16/05732/HMOADL,158 Cricket Road Oxford Oxfordshire OX4 3DL,5,5,22-Jan-17,22-Jan-18
16/03963/HMOADS,3 Shelley Road Oxford Oxfordshire OX4 3EA,4,,23-Sep-16,22-Jan-18
16/03965/HMOADL,103 Marlborough Road Oxford Oxfordshire OX1 4LX,5,4,23-Sep-16,22-Jan-18
15/05499/HMOADL,105 Bullingdon Road Oxford Oxfordshire OX4 1QN,4,4,22-Jan-16,22-Jan-18
16/05739/HMOADS,32 Valentia Road Oxford Oxfordshire OX3 7PL,4,,23-Jan-17,23-Jan-18
16/02886/HMOADL,6 Alesworth Grove Oxford Oxfordshire OX3 9RD,6,,23-Jan-17,23-Jan-18
16/01518/HMOLIC,43 Osler Road Oxford Oxfordshire OX3 9BH,5,,23-Jan-17,23-Jan-18
16/05748/HMOADS,136 Wytham Street Oxford Oxfordshire OX1 4TW,4,,23-Jan-17,23-Jan-18
15/03945/HMOADS,1 Sweet Green Close Oxford Oxfordshire OX3 8FR,6,,23-Jan-17,23-Jan-18
16/04562/HMOADS,2 Oatlands Road Oxford Oxfordshire OX2 0ET,4,,25-Oct-16,24-Jan-18
16/04931/HMOADL,3 East Avenue Oxford Oxfordshire OX4 1XW,7,7,25-Nov-16,24-Jan-18
16/05759/HMOADL,38 Marlborough Road Oxford Oxfordshire OX1 4LP,5,,25-Jan-17,25-Jan-18
16/05199/HMOLIC,2 Whitson Place Oxford Oxfordshire OX4 3DD,9,,25-Jan-17,25-Jan-18
16/05762/HMOLIC,9 Grays Road Oxford Headington Oxfordshire OX3 7QA,7,,25-Jan-17,25-Jan-18
16/03583/HMOADS,Flat 7 236 Iffley Road Oxford Oxfordshire OX4 1SE,3,3,24-Aug-16,25-Jan-18
15/02989/HMOADL,93 Campbell Road Oxford Oxfordshire OX4 3PG,8,6,25-Jan-17,25-Jan-18
16/03977/HMOADS,159 Morrell Avenue Oxford Oxfordshire OX4 1NG,4,3,25-Sep-16,25-Jan-18
16/03998/HMOLIC,7 Moody Road Oxford Oxfordshire OX3 0DH,6,,25-Sep-16,25-Jan-18
16/05365/HMOADL,4 Havelock Road Oxford OX4 3EP,5,5,27-Dec-16,26-Jan-18
16/04027/HMOADS,139 Morrell Avenue Oxford OX4 1NG,4,4,26-Sep-16,26-Jan-18
15/05284/HMOADL,74 Dashwood Road Oxford Oxfordshire OX4 4SH,9,,26-Jan-17,26-Jan-18
17/04647/HMOTXN,61 Harefields Oxford Oxfordshire OX2 8NR,,,26-Oct-17,26-Jan-18
17/01066/HMOADL,69 Howard Street Oxford Oxfordshire OX4 3AY,10,10,27-Nov-16,26-Jan-18
16/03345/HMOADL,151 Oxford Road Cowley Oxford Oxfordshire OX4 2ES,6,,26-Jan-17,26-Jan-18
16/06110/HMOLIC,21 Don Bosco Close Oxford Oxfordshire OX4 2LD,6,,26-Jan-17,26-Jan-18
16/04700/HMOADL,79 Hurst Street Oxford Oxfordshire OX4 1HA,6,6,27-Sep-16,26-Jan-18
15/05095/HMOADS,24 Hodges Court Oxford Oxfordshire OX1 4NY,4,,12-Jan-16,26-Jan-18
16/04089/HMOADS,37 Ablett Close Oxford Oxfordshire OX4 1XH,4,4,26-Jan-17,26-Jan-18
16/05763/HMOADS,18 Venneit Close Oxford Oxfordshire OX1 1HZ,3,3,27-Jan-17,27-Jan-18
16/05822/HMOLIC,37 Reliance Way Oxford Oxfordshire OX4 2FW,5,,28-Jan-17,27-Jan-18
16/05747/HMOLIC,354 Abingdon Road Oxford Oxfordshire OX1 4TQ,6,,27-Jan-17,27-Jan-18
16/01713/HMOADL,21 Maidcroft Road Oxford Oxfordshire OX4 3EN,5,,27-Jan-17,27-Jan-18
16/05766/HMOADL,34 Bulan Road Oxford Oxfordshire OX3 7HT,9,7,28-Jan-17,27-Jan-18
16/02673/HMOADL,9 Divinity Road Oxford OX4 1LH,5,,27-Jan-17,27-Jan-18
16/02657/HMOADS,10 Cardwell Crescent Oxford Oxfordshire OX3 7QE,4,,27-Jan-17,27-Jan-18
16/04072/HMOADS,71 Preachers Lane Oxford Oxfordshire OX1 1RT,3,,28-Sep-16,27-Jan-18
16/03325/HMOADS,115 Rose Hill Oxford Oxfordshire OX4 4HT,5,,28-Jul-16,27-Jan-18
16/02639/HMOADS,78 East Avenue Oxford Oxfordshire OX4 1XP,4,,27-Jan-17,27-Jan-18
15/05796/HMOADL,65 Horspath Road Oxford Oxfordshire OX4 2QW,5,5,27-Jan-17,27-Jan-18
16/04564/HMOADL,11 York Avenue Oxford Oxfordshire OX3 8NS,5,,27-Jan-17,27-Jan-18
16/05533/HMOADS,122 Cricket Road Oxford Oxfordshire OX4 3DL,4,,27-Jan-17,27-Jan-18
16/05024/HMOADL,225 London Road Headington Oxford Oxfordshire OX3 9JA,5,5,28-Nov-16,28-Jan-18
17/00125/HMOADL,D Langley Court Langley Close Headington Oxford,5,5,01-Mar-17,28-Jan-18
16/05821/HMOADS,Flat 28 The Old Bakery 54-57 St Thomas Street Oxford Oxfordshire OX1 1JP,3,,28-Jan-17,28-Jan-18
16/05819/HMOADS,Flat 2 The Old Bakery 54-57 St Thomas Street Oxford Oxfordshire OX1 1JP,4,4,28-Jan-17,28-Jan-18
